CNPJ_RAIZ,RAZAO_SOCIAL_SEFAZ,RAZAO_SOCIAL_RFB,RAZAO_SOCIAL_REDESIM,FONTE_RECOMENDADA,RAZAO_SOCIAL_RECOMENDADA,GC,SIMILARIDADE_CAD_RFB,SIM_CAD_REDESIM,SIM_RFB_REDESIM
03137568,J F DOS SANTOS ALBUQUERQUE,J.F.DOS SANTOS ALBUQUERQUE,,SEFAZ,J F DOS SANTOS ALBUQUERQUE,90,93,,
03088098,L M S LOBATO & CIA LTDA,L.M.S.LOBATO & CIA LTDA,,SEFAZ,L M S LOBATO & CIA LTDA,50,87,,
03077738,SOUZA & MATIAS LTDA,SOUZA & MATIAS LTDA.,,SEFAZ,SOUZA & MATIAS LTDA,90,95,,
07740350,ANTONIO EDILSON LIMA DE ARAUJO-ME,ANTONIO EDILSON LIMA DE ARAUJO,,SEFAZ,ANTONIO EDILSON LIMA DE ARAUJO-ME,90,91,,
34274233,PETROBRAS DISTRIBUIDORA S A,,PETROBRAS DISTRIBUIDORA SA,REDESIM,PETROBRAS DISTRIBUIDORA SA,90,,97,
73814295,EXPRESSO DE LUXO MARKETING DIRETO LTDA,,,SEFAZ,EXPRESSO DE LUXO MARKETING DIRETO LTDA,60,,,
23797376,BARTOFIL DISTRIBUIDORA SA,,BARTOFIL DISTRIBUIDORA SA,REDESIM,BARTOFIL DISTRIBUIDORA SA,90,,100,
07731318,L S GONCALVES ME,L S GONCALVES,,SEFAZ,L S GONCALVES ME,50,82,,
02643595,METALURGICA EDLUCY LTDA,METALURGICA EDLUCY LTDA,,SEFAZ,METALURGICA EDLUCY LTDA,90,100,,
29346301,LABORATORIO FARMACEUTICO VITAMED LTDA,,,SEFAZ,LABORATORIO FARMACEUTICO VITAMED LTDA,60,,,
60561719,AKZO NOBEL LTDA,,AKZO NOBEL LTDA,REDESIM,AKZO NOBEL LTDA,90,,100,
02618713,C J M DIAS,C J M DIAS,,SEFAZ,C J M DIAS,90,100,,
02623464,J C VIEIRA DA SILVA COMERCIO,J . C. VIEIRA DA SILVA COMERCIO,,SEFAZ,J C VIEIRA DA SILVA COMERCIO,90,91,,
68990555,MULTIPLA GRAFICA LTDA,,,SEFAZ,MULTIPLA GRAFICA LTDA,60,,,
35823947,COMPANHIA BRASILEIRA DE CERVEJAS,,,SEFAZ,COMPANHIA BRASILEIRA DE CERVEJAS,60,,,
33194978,CASTROL BRASIL LTDA,,,SEFAZ,CASTROL BRASIL LTDA,60,,,
23510033,CELSO SILVA SOUSA 19075482892,CELSO SILVA SOUSA 19075482892,CELSO SILVA SOUSA 19075482892,REDESIM,CELSO SILVA SOUSA 19075482892,100,100,100,100
23659702,PEDRO JORGE DE OLIVEIRA MELLO 53921534453,PEDRO JORGE DE OLIVEIRA MELLO 53921534453,PEDRO JORGE DE OLIVEIRA MELLO 53921534453,REDESIM,PEDRO JORGE DE OLIVEIRA MELLO 53921534453,100,100,100,100
23398160,LUIZ HENRIQUE CARDOSO ALVES,LUIZ HENRIQUE CARDOSO ALVES,LUIZ HENRIQUE CARDOSO ALVES - ME,REDESIM,LUIZ HENRIQUE CARDOSO ALVES - ME,30,100,85,85
23401769,A C C SALES SERVICOS,A C C SALES SERVICOS,,SEFAZ,A C C SALES SERVICOS,90,100,,
23549029,SOLANGE DE JESUS SANTOS 26902087334,SOLANGE DE JESUS SANTOS 26902087334,,SEFAZ,SOLANGE DE JESUS SANTOS 26902087334,90,100,,
23677686,IVALDO DE SOUSA SANTOS 50567616304,IVALDO DE SOUSA SANTOS 50567616304,,SEFAZ,IVALDO DE SOUSA SANTOS 50567616304,90,100,,
23498989,EZEQUIEL RODRIGUES DA SILVA 07787467398,EZEQUIEL RODRIGUES DA SILVA 07787467398,,SEFAZ,EZEQUIEL RODRIGUES DA SILVA 07787467398,90,100,,
23347991,ROQUINALDO LOPES SANTOS 48812854320,ROQUINALDO LOPES SANTOS 48812854320,,SEFAZ,ROQUINALDO LOPES SANTOS 48812854320,90,100,,
23502987,BETH LOYD CUTRIM DA SILVA 62869655304,BETH LOYD CUTRIM DA SILVA 62869655304,,SEFAZ,BETH LOYD CUTRIM DA SILVA 62869655304,90,100,,
23320843,RAFAEL SALES FACUNDES FILHO,RAFAEL SALES FACUNDES FILHO,,SEFAZ,RAFAEL SALES FACUNDES FILHO,90,100,,
23722059,ELIDIANY AGUIAR ARAUJO 61208085310,ELIDIANY AGUIAR ARAUJO 61208085310,ELIDIANY AGUIAR ARAUJO 61208085310,REDESIM,ELIDIANY AGUIAR ARAUJO 61208085310,100,100,100,100
07083656,SANDVIK MINING AND CONSTRUCTION DO BRASIL S A,,,SEFAZ,SANDVIK MINING AND CONSTRUCTION DO BRASIL S A,60,,,
23697897,K  YASMIN PIMENTEL TORRES EIRELI,K. YASMIN PIMENTEL TORRES EIRELI,,SEFAZ,K  YASMIN PIMENTEL TORRES EIRELI,90,97,,
23709537,LARA TEREZA CRUZ RODRIGUES VIEIRA 00985094389,LARA TEREZA CRUZ RODRIGUES VIEIRA 00985094389,,SEFAZ,LARA TEREZA CRUZ RODRIGUES VIEIRA 00985094389,90,100,,
20247322,ALLIED TECNOLOGIA S A ,,ALLIED TECNOLOGIA S.A.,REDESIM,ALLIED TECNOLOGIA S.A.,90,,91,
54516661,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E COMERCIO DE PRODUTOS PARA SAUDE LTDA ,,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E COMERCIO DE PRODUTOS PARA SAUDE LTDA.,REDESIM,JOHNSON & JOHNSON DO BRASIL INDUSTRIA E COMERCIO DE PRODUTOS PARA SAUDE LTDA.,90,,99,
23699927,ELINELSON VIANA 01683376307,ELINELSON VIANA 01683376307,,SEFAZ,ELINELSON VIANA 01683376307,90,100,,
23739909,ALDINEA ALVES MENDES 73864129168,ALDINEA ALVES MENDES 73864129168,,SEFAZ,ALDINEA ALVES MENDES 73864129168,90,100,,
23491084,DENIZE DE S  NASCIMENTO,DENIZE DE S  NASCIMENTO,,SEFAZ,DENIZE DE S  NASCIMENTO,90,100,,
11017605,JOAO BATISTA LISBOA CARDOSO ME,JOAO BATISTA LISBOA CARDOSO,,SEFAZ,JOAO BATISTA LISBOA CARDOSO ME,90,90,,
07629165,F C NASCIMENTO SOBRINHO ME,FC NASCIMENTO SOBRINHO,,SEFAZ,F C NASCIMENTO SOBRINHO ME,50,85,,
06415210,FRANCISCA MORAES RIBEIRO ME,FRANCISCA MORAES RIBEIRO,,SEFAZ,FRANCISCA MORAES RIBEIRO ME,50,89,,
11042124,NERCY NAZARIO DA PAIXAO ME,NERCY NAZARIO DA PAIXAO,,SEFAZ,NERCY NAZARIO DA PAIXAO ME,50,89,,
11095429,J A BITENCOURT ME,J A BITENCOURT,,SEFAZ,J A BITENCOURT ME,50,83,,
12548772,MARINA COSTA CALDAS ME,MARINA COSTA CALDAS,,SEFAZ,MARINA COSTA CALDAS ME,50,87,,
12537486,MERCADINHO AMAZONAS LTDA ME,MERCADINHO AMAZONAS LTDA,,SEFAZ,MERCADINHO AMAZONAS LTDA ME,50,89,,
23432610,M G DOS SANTOS CORDEIRO COMERCIO ME,M G DOS SANTOS CORDEIRO COMERCIO,,SEFAZ,M G DOS SANTOS CORDEIRO COMERCIO ME,90,92,,
35156868,LUIS GOMES,LUIS GOMES,,SEFAZ,LUIS GOMES,90,100,,
12545091,ANTONIO ARISTEU DE CARVALHO ME,ANTONIO ARISTEU DE CARVALHO,,SEFAZ,ANTONIO ARISTEU DE CARVALHO ME,90,90,,
12551669,M M V ARAUJO ME,M M V ARAUJO,,SEFAZ,M M V ARAUJO ME,50,80,,
10427409,MARIA APARECIDA M OLIVEIRA COMERCIO ME,MARIA APARECIDA MARTINS OLIVEIRA COMERCIO,,SEFAZ,MARIA APARECIDA M OLIVEIRA COMERCIO ME,50,79,,
07308331,A C B VASCONCELOS   ME,A C B VASCONCELOS,,SEFAZ,A C B VASCONCELOS   ME,50,78,,
23425515,CORNELIO APARECIDO DE OLIVEIRA ME,CORNELIO APARECIDO DE OLIVEIRA,,SEFAZ,CORNELIO APARECIDO DE OLIVEIRA ME,90,91,,
11104817,ELITE COMERCIO E CONSTRUCOES LTDA,ELITE COMERCIO E CONSTRUCOES LTDA,,SEFAZ,ELITE COMERCIO E CONSTRUCOES LTDA,90,100,,
10360162,N PEREIRA DOS SANTOS ME,N PEREIRA DOS SANTOS,N. PEREIRA DOS SANTOS - ME,REDESIM,N. PEREIRA DOS SANTOS - ME,30,87,89,77
11013638,ESTETICA MODELADORES LTDA,ESTETICA MODELADORES LTDA,ESTETICA MODELADORES LTDA,REDESIM,ESTETICA MODELADORES LTDA,100,100,100,100
12514667,JORGE SOUZA FILHO ME,JORGE SOUZA FILHO,,SEFAZ,JORGE SOUZA FILHO ME,50,85,,
11046257,MARIA LINDALCI GONCALVES,MARIA LINDALCI GONCALVES,,SEFAZ,MARIA LINDALCI GONCALVES,90,100,,
06771026,LUIZ AUGUSTO SANTIAGO UBIRAJARA ME,LUIS AUGUSTO SANTIAGO UBIRAJARA,,SEFAZ,LUIZ AUGUSTO SANTIAGO UBIRAJARA ME,50,89,,
07751308,DEUSDETE RODRIGUES DA SILVA ME,DEUSDETE RODRIGUES DA SILVA,,SEFAZ,DEUSDETE RODRIGUES DA SILVA ME,90,90,,
07002363,SILVIO JODSE RIBEIRO ME,SILVIO JOSE RIBEIRO,,SEFAZ,SILVIO JODSE RIBEIRO ME,50,83,,
12079430,MARIA AMELIA SILVA DE ARRUDA ME,MARIA AMELIA SILVA DE ARRUDA,,SEFAZ,MARIA AMELIA SILVA DE ARRUDA ME,90,91,,
07060510,BERNARDO S SA MENEZES ME,BERNARDO S SA MENEZES,,SEFAZ,BERNARDO S SA MENEZES ME,50,88,,
20041486,MARIA JOSE PEREIRA DA SILVA 60052220311,MARIA JOSE PEREIRA DA SILVA 60052220311,,SEFAZ,MARIA JOSE PEREIRA DA SILVA 60052220311,90,100,,
20008529,INOVARE FABRICACAO DE MOVEIS LTDA,INOVARE FABRICACAO DE MOVEIS LTDA,INOVARE FABRICACAO DE MOVEIS LTDA - ME,REDESIM,INOVARE FABRICACAO DE MOVEIS LTDA - ME,30,100,87,87
20221869,LEANDRO FERREIRA DA SILVA 01578084164,LEANDRO FERREIRA DA SILVA 01578084164,,SEFAZ,LEANDRO FERREIRA DA SILVA 01578084164,90,100,,
20268630,T  MATOS DA SILVA,T. MATOS DA SILVA,,SEFAZ,T  MATOS DA SILVA,90,95,,
20260450,VERA LUCIA FERREIRA DE SOUSA 40301613320,VERA LUCIA FERREIRA DE SOUSA 40301613320,,SEFAZ,VERA LUCIA FERREIRA DE SOUSA 40301613320,90,100,,
19868730,AHIMA   ASSOCIACAO DOS HORTICULTORES DE IMPERATRIZ   MA,AHIMA - ASSOCIACAO DOS HORTICULTORES DE IMPERATRIZ - MA,AHIMA - ASSOCIACAO DOS HORTICULTORES DE IMPERATRIZ - MA,REDESIM,AHIMA - ASSOCIACAO DOS HORTICULTORES DE IMPERATRIZ - MA,100,97,97,100
20153838,MARIZA LEITE GOMES 30462681300,MARIZA LEITE GOMES 30462681300,MARIZA LEITE GOMES 30462681300,REDESIM,MARIZA LEITE GOMES 30462681300,100,100,100,100
20199814,ELISANGELA CASSIANO CAMPOS 60467418314,ELIZANGELA CASSIANO CAMPOS 60467418314,,SEFAZ,ELISANGELA CASSIANO CAMPOS 60467418314,90,98,,
05894343,P C S DA CRUZ   ME,P C S DA CRUZ,,SEFAZ,P C S DA CRUZ   ME,50,73,,
21108992,RUMO NORTE ARMAZENS GERAIS E COMERCIO EXTERIOR LTDA,RUMO NORTE ARMAZENS GERAIS E COMERCIO EXTERIOR LTDA,,SEFAZ,RUMO NORTE ARMAZENS GERAIS E COMERCIO EXTERIOR LTDA,90,100,,
21194872,MARIA JOSE DE SOUSA ALVES MARINHO 93888910315,MARIA JOSE DE SOUSA ALVES MARINHO 93888910315,,SEFAZ,MARIA JOSE DE SOUSA ALVES MARINHO 93888910315,90,100,,
20872279,CONCEICAO DE MARIA CAVALCANTE DA SILVA 78528666387,CONCEICAO DE MARIA CAVALCANTE FREITAS 78528666387,CONCEICAO DE MARIA CAVALCANTE FREITAS 78528666387,REDESIM,CONCEICAO DE MARIA CAVALCANTE FREITAS 78528666387,70,86,86,100
20942574,MARIA ROSA PEREIRA DOS SANTOS 48939501349,MARIA ROSA PEREIRA DOS SANTOS 48939501349,,SEFAZ,MARIA ROSA PEREIRA DOS SANTOS 48939501349,90,100,,
21232250,MARILENE ALEXANDRE NUNES 42537444353,MARILENE ALEXANDRE NUNES 42537444353,,SEFAZ,MARILENE ALEXANDRE NUNES 42537444353,90,100,,
20854500,G DE ALENCAR DAMACENA,G DE ALENCAR DAMACENA,G DE ALENCAR DAMACENA,REDESIM,G DE ALENCAR DAMACENA,100,100,100,100
21190485,ELISANGELA D  DAMASCENO,ELISANGELA D. DAMASCENO,,SEFAZ,ELISANGELA D  DAMASCENO,90,96,,
20998503,MONIQUE SOUSA LIMA 01454375310,MONIQUE SOUSA LIMA 01454375310,,SEFAZ,MONIQUE SOUSA LIMA 01454375310,90,100,,
20947732,JOAQUIM F S DE MORAIS EIRELI,JOAQUIM F. S. DE MORAIS EIRELI,JOAQUIM F. S. DE MORAIS EIRELI,REDESIM,JOAQUIM F. S. DE MORAIS EIRELI,100,94,94,100
08867308,BANANAL MATERIAIS DE CONSTRUCAO LTDA   ME,BANANAL MATERIAIS DE CONSTRUCAO LTDA,,SEFAZ,BANANAL MATERIAIS DE CONSTRUCAO LTDA   ME,50,88,,
20956870,CARVALHO & MARTINS LTDA,CARVALHO & MARTINS LTDA,,SEFAZ,CARVALHO & MARTINS LTDA,90,100,,
21273555,MARIA ELISANGELA VIANA CRUZ 00203353340,MARIA ELISANGELA VIANA CRUZ 00203353340,,SEFAZ,MARIA ELISANGELA VIANA CRUZ 00203353340,90,100,,
20964522,MATOES INDUSTRIA E COMERCIO LTDA,MATOES INDUSTRIA E COMERCIO LTDA,,SEFAZ,MATOES INDUSTRIA E COMERCIO LTDA,90,100,,
20934578,W  S  SAMPAIO INSTALACAO E MANUTENCAO,W. S. SAMPAIO INSTALACAO E MANUTENCAO,,SEFAZ,W  S  SAMPAIO INSTALACAO E MANUTENCAO,90,95,,
21106294,JOAO DEYVIT RIBEIRO MOURA 01024799336,JOAO DEYVIT RIBEIRO MOURA 01024799336,,SEFAZ,JOAO DEYVIT RIBEIRO MOURA 01024799336,90,100,,
21103695,CARLOS COSTA DE JESUS 61123243344,CARLOS COSTA DE JESUS 61123243344,,SEFAZ,CARLOS COSTA DE JESUS 61123243344,90,100,,
02586480,R N BARBOSA MERCEARIA,R.N.BARBOSA-MERCEARIA,,SEFAZ,R N BARBOSA MERCEARIA,50,86,,
21787920,SILVIENE RIBEIRO DA SILVA,SILVIENE RIBEIRO DA SILVA,,SEFAZ,SILVIENE RIBEIRO DA SILVA,90,100,,
22099890,WENILTON LUIZ DOS REMEDIOS MONTELO 85537020220,WENILTON LUIZ DOS REMEDIOS MONTELO 85537020220,WENILTON LUIZ DOS REMEDIOS MONTELO 85537020220,REDESIM,WENILTON LUIZ DOS REMEDIOS MONTELO 85537020220,100,100,100,100
21850756,ARYELLA LEITAO DA SILVA 01342882385,ARYELLA LEITAO DA SILVA 01342882385,,SEFAZ,ARYELLA LEITAO DA SILVA 01342882385,90,100,,
21823946,MARINILDA DE JESUS REBOUCAS CUTRIM 29201438320,MARINILDA DE JESUS REBOUCAS CUTRIM 29201438320,MARINILDA DE JESUS REBOUCAS CUTRIM 29201438320,REDESIM,MARINILDA DE JESUS REBOUCAS CUTRIM 29201438320,100,100,100,100
20250739,POLLYANNA DO AMPARO FERREIRA DOS SANTOS 02762991323,POLLYANNA DO AMPARO FERREIRA DOS SANTOS 02762991323,,SEFAZ,POLLYANNA DO AMPARO FERREIRA DOS SANTOS 02762991323,90,100,,
20311229,EVALDO ALVES FARIAS 74926586304,EVALDO ALVES FARIAS 74926586304,,SEFAZ,EVALDO ALVES FARIAS 74926586304,90,100,,
20047344,GERCINETE SILVA CUNHA 04045774319,GERCINETE SILVA CUNHA 04045774319,GERCINETE SILVA CUNHA 04045774319,REDESIM,GERCINETE SILVA CUNHA 04045774319,100,100,100,100
19924046,LAIS MESQUITA FARIAS 51208466704,LAIS MESQUITA FARIAS 51208466704,,SEFAZ,LAIS MESQUITA FARIAS 51208466704,90,100,,
20297902,CESAR JUNIO FREIRE SILVA 00497158361,CESAR JUNIO FREIRE SILVA 00497158361,,SEFAZ,CESAR JUNIO FREIRE SILVA 00497158361,90,100,,
21170711,MARIA ZIRLENE ALMEIDA SOUSA COSTA 29143411304,MARIA ZIRLENE ALMEIDA SOUSA COSTA 29143411304,,SEFAZ,MARIA ZIRLENE ALMEIDA SOUSA COSTA 29143411304,90,100,,
20991729,RAIMUNDO NONATO DE SOUSA OLIVEIRA 44673892372,RAIMUNDO NONATO DE SOUSA OLIVEIRA 44673892372,,SEFAZ,RAIMUNDO NONATO DE SOUSA OLIVEIRA 44673892372,90,100,,
20964101,FRANCISCO DOS SANTOS CAVALCANTE FILHO 70847576353,FRANCISCO DOS SANTOS CAVALCANTE FILHO 70847576353,,SEFAZ,FRANCISCO DOS SANTOS CAVALCANTE FILHO 70847576353,90,100,,
21095588,LUCIANA DOS ANJOS NASCIMENTO 00056253354,LUCIANA DOS ANJOS NASCIMENTO 00056253354,,SEFAZ,LUCIANA DOS ANJOS NASCIMENTO 00056253354,90,100,,
21081750,IRANI REIS DA SILVA 00927450321,IRANI REIS DA SILVA 00927450321,,SEFAZ,IRANI REIS DA SILVA 00927450321,90,100,,
06697948,F  C  DE MORAIS SILVA   ME,F. C. DE MORAIS SILVA,,SEFAZ,F  C  DE MORAIS SILVA   ME,50,74,,
21080871,IZALENE BISPO DE AMORIM MARINHO 63409186387,IZALENE BISPO DE AMORIM MARINHO 63409186387,,SEFAZ,IZALENE BISPO DE AMORIM MARINHO 63409186387,90,100,,
21107350,MARIA DE NAZARE SOARES LIMA 99694263387,MARIA DE NAZARE SOARES LIMA 99694263387,,SEFAZ,MARIA DE NAZARE SOARES LIMA 99694263387,90,100,,
21389389,HELENA RUTH DA SILVA 75104245349,HELENA RUTH DA SILVA 75104245349,,SEFAZ,HELENA RUTH DA SILVA 75104245349,90,100,,
21044084,MARINALVA DE SOUSA VIANA 22583823353,MARINALVA DE SOUSA VIANA 22583823353,MARINALVA DE SOUSA VIANA 22583823353,REDESIM,MARINALVA DE SOUSA VIANA 22583823353,100,100,100,100
21160526,T C B REZENDE,T. C. B. REZENDE,T. C. B. REZENDE,REDESIM,T. C. B. REZENDE,70,82,82,100
19404643,MANUELA FERNANDA MEDEIROS DE ANDRADE NOBRE 65093330310,MANUELA FERNANDA MEDEIROS DE ANDRADE NOBRE 65093330310,,SEFAZ,MANUELA FERNANDA MEDEIROS DE ANDRADE NOBRE 65093330310,90,100,,
00701275,ALCILENE C SILVA,ALCILENE C SILVA,,SEFAZ,ALCILENE C SILVA,90,100,,
18290453,MIKELLE PEREIRA BARBOSA LOPES,MIKELLE PEREIRA BARBOSA LOPES,,SEFAZ,MIKELLE PEREIRA BARBOSA LOPES,90,100,,
18221223,BENEDITO GONCALVES DE OLIVEIRA 13491644372,BENEDITO GONCALVES DE OLIVEIRA 13491644372,BENEDITO GONCALVES DE OLIVEIRA 13491644372,REDESIM,BENEDITO GONCALVES DE OLIVEIRA 13491644372,100,100,100,100
18369776,FRANCINETE CARVALHO SILVA 00367815338,FRANCINETE CARVALHO SILVA 00367815338,FRANCINETE CARVALHO SILVA 00367815338,REDESIM,FRANCINETE CARVALHO SILVA 00367815338,100,100,100,100
17970669,H  R  DE FARIA INDUSTRIA,H. R. DE FARIA INDUSTRIA,,SEFAZ,H  R  DE FARIA INDUSTRIA,90,92,,
18206252,DANNIELLY LUCENA VIANA 07267234445,DANNIELLY LUCENA MOURA 07267234445,,SEFAZ,DANNIELLY LUCENA VIANA 07267234445,50,89,,
18481328,VALDINE DA SILVA BARROSO 49425650306,VALDINE DA SILVA BARROSO 49425650306,,SEFAZ,VALDINE DA SILVA BARROSO 49425650306,90,100,,
19266601,KATIA MARIA AZEVEDO DE OLIVEIRA SANTOS 00441956300,KATIA MARIA AZEVEDO DE OLIVEIRA SANTOS 00441956300,KATIA MARIA AZEVEDO DE OLIVEIRA SANTOS 00441956300,REDESIM,KATIA MARIA AZEVEDO DE OLIVEIRA SANTOS 00441956300,100,100,100,100
19151693,PEDRO DE JESUS CANINDE 14865556320,PEDRO DE JESUS CANINDE 14865556320,PEDRO DE JESUS CANINDE 14865556320,REDESIM,PEDRO DE JESUS CANINDE 14865556320,100,100,100,100
19168805,GRACILENE COSTA DA COSTA 64537072334,GRACILENE COSTA DA COSTA 64537072334,,SEFAZ,GRACILENE COSTA DA COSTA 64537072334,90,100,,
19282054,D C M C FERREIRA,D C M C FERREIRA,,SEFAZ,D C M C FERREIRA,90,100,,
19207296,JESUS TEIXEIRA DE FARIA 59894903134,JESUS TEIXEIRA DE FARIA 59894903134,,SEFAZ,JESUS TEIXEIRA DE FARIA 59894903134,90,100,,
19126579,P S AVILA MARTINS & CIA LTDA,P S AVILA MARTINS & CIA LTDA,,SEFAZ,P S AVILA MARTINS & CIA LTDA,90,100,,
19164017,C P PIRES,C P PIRES,,SEFAZ,C P PIRES,90,100,,
19028020,ANDEROBSON MATOS PEREIRA 01251068316,ANDEROBSON MATOS PEREIRA 01251068316,,SEFAZ,ANDEROBSON MATOS PEREIRA 01251068316,90,100,,
19068344,ELIANE CRISTINA FERREIRA FONSECA MORAIS 72806044391,ELIANE CRISTINA FERREIRA FONSECA MORAIS 72806044391,ELIANE CRISTINA FERREIRA FONSECA MORAIS 72806044391,REDESIM,ELIANE CRISTINA FERREIRA FONSECA MORAIS 72806044391,100,100,100,100
19317537,RAQUEL DA SILVA GARRIDO 00593166329,RAQUEL DA SILVA GARRIDO 00593166329,,SEFAZ,RAQUEL DA SILVA GARRIDO 00593166329,90,100,,
19314218,MARCIELEN SILVA BORGES 05771597392,MARCIELEN SILVA BORGES 05771597392,,SEFAZ,MARCIELEN SILVA BORGES 05771597392,90,100,,
